,omlet,waffles,traditional platter,chocolate chips,coleslaw,sausage,bacon,ham,hash browns,toast,butter,beverage,mayonaise,cheese,bun,burger,BLT,chicken sandwich,fried chicken,nachos,tuna melt,french fries,onion rings,milk shake,mashed potatoes,gravy,salad,ice cream,bread crumbs,ketchup,mustard,buttermilk,corn chips
mushrooms,0.013964730226853628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomatoes,0.01680559236376089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02632599620888132,0.0030050088214576,0.021490701340759144,0.008434609642919755,0.027668881610920515,0.04021276587048339,0.0,0.0,0.0,0.0,0.0,0.09545454514491936,0.0,0.0,0.47638191152116033,0.0,0.0,0.0
bell peppers,0.010436843809341956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030050088214576,0.0,0.003261634717550921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09545454514491936,0.0,0.0,0.0,0.0,0.0,0.0
blueberries,0.0,0.033540696219589106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberries,0.0,0.028454802388514167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015083429035824936,0.0,0.013090017019750322,0.0,0.0,0.014894857335466916,0.0,0.32452768783331293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pickles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007386929540532661,0.0,0.0038650775975140883,0.0,0.0,0.007778983764454184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paprika,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018577587176958898,0.0,0.001481359566352758,0.022961597109787846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09427374331109195,0.0,0.0
black pepper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023103726384715362,0.028790007966873032,0.014894857335466916,0.0,0.0,0.0,0.0,0.11612903181580558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salt,0.11463801147392394,0.06629278305401642,0.06785335242742341,0.0,0.042771774999424195,0.1406250004311418,0.2139261737853575,0.2686567149861229,0.2727607350519735,0.08539618874108401,0.2999999986875216,0.0,0.14999999972402267,0.12842465782332768,0.08539618874108401,0.081729503645531,0.1375721462739844,0.056323663165418036,0.08055958309564049,0.12676539819281185,0.07404795230539796,0.3376119383088618,0.09083497054120504,0.0,0.25695835374954257,0.04215086523492673,0.09545454514491936,0.0,0.07312640483047961,0.18090452324660433,0.15712290553301833,0.053702683416791075,0.17441860408752674
